Old IRI,New IRI
https://www.commoncoreontologies.org/ont00001808,http://purl.obolibrary.org/obo/IAO_0000136
https://www.commoncoreontologies.org/ont00000958,http://purl.obolibrary.org/obo/IAO_0000030
https://www.commoncoreontologies.org/ont00000965,http://purl.obolibrary.org/obo/IAO_0000033
